,0,1,2,3,4,5,6,7,8,9
0,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14
1,0.27,0.26,0.26,0.26,0.26,0.27,0.26,0.26,0.26,0.26
2,0.42,0.42,0.42,0.42,0.43,0.42,0.42,0.42,0.42,0.42
3,0.63,0.62,0.63,0.63,0.62,0.63,0.65,0.63,0.62,0.63
4,0.88,0.88,0.89,0.9,0.92,0.88,0.89,0.88,0.88,0.89
5,1.18,1.18,1.18,1.18,1.18,1.22,1.25,1.27,1.21,1.19
6,1.54,1.53,1.52,1.53,1.52,1.53,1.53,1.53,1.53,1.52
7,0.12,0.09,0.1,0.09,0.09,0.1,0.09,0.1,0.1,0.1
8,0.16,0.16,0.15,0.16,0.16,0.16,0.15,0.16,0.15,0.15
9,0.24,0.24,0.23,0.24,0.23,0.24,0.24,0.24,0.23,0.23
10,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.35,0.34
11,0.48,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.46
12,0.62,0.62,0.61,0.62,0.62,0.62,0.62,0.62,0.62,0.61
13,0.8,0.79,0.79,0.79,0.8,0.79,0.79,0.79,0.79,0.79
14,0.09,0.08,0.09,0.09,0.09,0.09,0.09,0.07,0.09,0.08
15,0.14,0.12,0.14,0.13,0.14,0.12,0.12,0.12,0.12,0.12
16,0.16,0.16,0.18,0.18,0.17,0.16,0.15,0.16,0.15,0.15
17,0.25,0.23,0.23,0.22,0.21,0.21,0.24,0.21,0.24,0.24
18,0.3,0.28,0.31,0.3,0.29,0.29,0.29,0.28,0.29,0.28
19,0.38,0.35,0.36,0.37,0.38,0.37,0.37,0.36,0.36,0.35
20,0.5,0.46,0.46,0.47,0.44,0.45,0.47,0.47,0.46,0.46
21,0.07,0.07,0.07,0.07,0.07,0.08,0.07,0.07,0.07,0.07
22,0.1,0.1,0.1,0.09,0.1,0.1,0.1,0.1,0.1,0.11
23,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.14
24,0.19,0.19,0.19,0.19,0.2,0.19,0.19,0.19,0.19,0.19
25,0.26,0.25,0.25,0.25,0.25,0.25,0.27,0.25,0.26,0.25
26,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.34
27,0.5,0.47,0.43,0.44,0.45,0.45,0.43,0.42,0.42,0.43
28,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
29,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
30,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14
31,0.2,0.2,0.19,0.2,0.19,0.2,0.19,0.2,0.2,0.2
32,0.28,0.27,0.3,0.29,0.31,0.3,0.29,0.28,0.28,0.27
33,0.34,0.34,0.34,0.34,0.33,0.34,0.35,0.33,0.34,0.34
34,0.43,0.43,0.43,0.45,0.46,0.43,0.46,0.43,0.43,0.44
